Country,date,Brazil
Brazil,9/8/20,504
Brazil,9/9/20,1075
Brazil,9/10/20,983
Brazil,9/11/20,874
Brazil,9/12/20,814
Brazil,9/13/20,415
Brazil,9/14/20,381
Brazil,9/15/20,1113
Brazil,9/16/20,987
Brazil,9/17/20,829
Brazil,9/18/20,858
Brazil,9/19/20,739
Brazil,9/20/20,363
Brazil,9/21/20,377
Brazil,9/22/20,833
Brazil,9/23/20,0
Brazil,9/24/20,1703
Brazil,9/25/20,729
Brazil,9/26/20,869
Brazil,9/27/20,335
Brazil,9/28/20,317
Brazil,9/29/20,863
Brazil,9/30/20,1031
Brazil,10/1/20,728
Brazil,10/2/20,0
Brazil,10/3/20,1307
Brazil,10/4/20,365
Brazil,10/5/20,323
Brazil,10/6/20,819
Brazil,10/7/20,734
Brazil,10/8/20,729
Brazil,10/9/20,682
Brazil,10/10/20,559
Brazil,10/11/20,290
Brazil,10/12/20,201
Brazil,10/13/20,309
Brazil,10/14/20,749
Brazil,10/15/20,713
Brazil,10/16/20,754
Brazil,10/17/20,461
Brazil,10/18/20,0
Brazil,10/19/20,501
Brazil,10/20/20,661
Brazil,10/21/20,566
Brazil,10/22/20,497
Brazil,10/23/20,571
Brazil,10/24/20,432
Brazil,10/25/20,231
Brazil,10/26/20,263
Brazil,10/27/20,549
Brazil,10/28/20,510
Brazil,10/29/20,513
Brazil,10/30/20,508
Brazil,10/31/20,407
Brazil,11/1/20,190
Brazil,11/2/20,179
Brazil,11/3/20,243
Brazil,11/4/20,610
Brazil,11/5/20,0
Brazil,11/6/20,909
Brazil,11/7/20,254
Brazil,11/8/20,128
Brazil,11/9/20,231
Brazil,11/10/20,174
Brazil,11/11/20,566
Brazil,11/12/20,913
Brazil,11/13/20,456
Brazil,11/14/20,921
Brazil,11/15/20,140
Brazil,11/16/20,216
Brazil,11/17/20,685
Brazil,11/18/20,756
Brazil,11/19/20,606
Brazil,11/20/20,552
Brazil,11/21/20,376
Brazil,11/22/20,194
Brazil,11/23/20,302
Brazil,11/24/20,630
Brazil,11/25/20,654
Brazil,11/26/20,691
Brazil,11/27/20,514
Brazil,11/28/20,587
Brazil,11/29/20,272
Brazil,11/30/20,287
Brazil,12/1/20,697
Brazil,12/2/20,698
Brazil,12/3/20,755
Brazil,12/4/20,694
Brazil,12/5/20,664
Brazil,12/6/20,313
Brazil,12/7/20,376
Brazil,12/8/20,842
Brazil,12/9/20,836
Brazil,12/10/20,770
Brazil,12/11/20,672
Brazil,12/12/20,686
Brazil,12/13/20,279
Brazil,12/14/20,433
Brazil,12/15/20,964
Brazil,12/16/20,936
Brazil,12/17/20,1092
Brazil,12/18/20,823
Brazil,12/19/20,706
Brazil,12/20/20,408
Brazil,12/21/20,527
Brazil,12/22/20,968
Brazil,12/23/20,961
Brazil,12/24/20,762
Brazil,12/25/20,506
Brazil,12/26/20,307
Brazil,12/27/20,344
Brazil,12/28/20,431
Brazil,12/29/20,1111
Brazil,12/30/20,1194
Brazil,12/31/20,1074
Brazil,1/1/21,462
Brazil,1/2/21,314
Brazil,1/3/21,293
Brazil,1/4/21,543
Brazil,1/5/21,1171
Brazil,1/6/21,1242
Brazil,1/7/21,1524
Brazil,1/8/21,962
Brazil,1/9/21,1171
Brazil,1/10/21,469
Brazil,1/11/21,480
Brazil,1/12/21,1110
Brazil,1/13/21,1274
Brazil,1/14/21,1131
Brazil,1/15/21,1151
Brazil,1/16/21,1050
Brazil,1/17/21,551
Brazil,1/18/21,452
Brazil,1/19/21,1192
Brazil,1/20/21,1340
Brazil,1/21/21,1316
Brazil,1/22/21,1096
Brazil,1/23/21,1202
Brazil,1/24/21,592
Brazil,1/25/21,627
Brazil,1/26/21,1214
Brazil,1/27/21,1283
Brazil,1/28/21,1386
Brazil,1/29/21,1119
Brazil,1/30/21,1279
Brazil,1/31/21,559
Brazil,2/1/21,595
Brazil,2/2/21,1210
Brazil,2/3/21,1254
Brazil,2/4/21,1232
Brazil,2/5/21,1239
Brazil,2/6/21,0
Brazil,2/7/21,1500
Brazil,2/8/21,0
Brazil,2/9/21,1986
Brazil,2/10/21,1330
Brazil,2/11/21,1351
Brazil,2/12/21,1288
Brazil,2/13/21,1043
Brazil,2/14/21,713
Brazil,2/15/21,528
Brazil,2/16/21,1167
Brazil,2/17/21,1150
Brazil,2/18/21,1367
Brazil,2/19/21,1280
Brazil,2/20/21,1240
Brazil,2/21/21,527
Brazil,2/22/21,639
Brazil,2/23/21,1386
Brazil,2/24/21,1428
Brazil,2/25/21,1541
Brazil,2/26/21,1337
Brazil,2/27/21,1386
Brazil,2/28/21,721
Brazil,3/1/21,778
Brazil,3/2/21,1641
Brazil,3/3/21,1910
Brazil,3/4/21,1699
Brazil,3/5/21,1800
Brazil,3/6/21,1555
Brazil,3/7/21,1086
Brazil,3/8/21,987
Brazil,3/9/21,1972
Brazil,3/10/21,2286
Brazil,3/11/21,2233
Brazil,3/12/21,2216
Brazil,3/13/21,1997
Brazil,3/14/21,1127
Brazil,3/15/21,1057
Brazil,3/16/21,2841
Brazil,3/17/21,2648
Brazil,3/18/21,2724
Brazil,3/19/21,2815
Brazil,3/20/21,2438
Brazil,3/21/21,1290
Brazil,3/22/21,1383
Brazil,3/23/21,3251
Brazil,3/24/21,2009
Brazil,3/25/21,2777
Brazil,3/26/21,3650
Brazil,3/27/21,3438
Brazil,3/28/21,1656
Brazil,3/29/21,1660
Brazil,3/30/21,3780
Brazil,3/31/21,3869
Brazil,4/1/21,3769
Brazil,4/2/21,2922
Brazil,4/3/21,1987
Brazil,4/4/21,1240
Brazil,4/5/21,1319
Brazil,4/6/21,4195
Brazil,4/7/21,3829
Brazil,4/8/21,4249
Brazil,4/9/21,3693
Brazil,4/10/21,2616
Brazil,4/11/21,1803
Brazil,4/12/21,1480
Brazil,4/13/21,3808
Brazil,4/14/21,3459
Brazil,4/15/21,3560
Brazil,4/16/21,3305
Brazil,4/17/21,2929
Brazil,4/18/21,1657
Brazil,4/19/21,1347
Brazil,4/20/21,3321
Brazil,4/21/21,3472
Brazil,4/22/21,2027
Brazil,4/23/21,2914
Brazil,4/24/21,3076
Brazil,4/25/21,1305
Brazil,4/26/21,1139
Brazil,4/27/21,3086
Brazil,4/28/21,3163
Brazil,4/29/21,3001
Brazil,4/30/21,2595
Brazil,5/1/21,2656
Brazil,5/2/21,1202
Brazil,5/3/21,983
Brazil,5/4/21,2966
Brazil,5/5/21,2811
Brazil,5/6/21,2550
Brazil,5/7/21,2165
Brazil,5/8/21,2202
Brazil,5/9/21,1024
Brazil,5/10/21,889
Brazil,5/11/21,2311
Brazil,5/12/21,2494
Brazil,5/13/21,2383
Brazil,5/14/21,2211
Brazil,5/15/21,2087
Brazil,5/16/21,1036
Brazil,5/17/21,786
Brazil,5/18/21,2513
Brazil,5/19/21,2641
Brazil,5/20/21,2403
Brazil,5/21/21,2215
Brazil,5/22/21,1899
Brazil,5/23/21,860
Brazil,5/24/21,790
Brazil,5/25/21,2173
Brazil,5/26/21,2398
Brazil,5/27/21,2245
Brazil,5/28/21,2371
Brazil,5/29/21,2012
Brazil,5/30/21,874
Brazil,5/31/21,860
Brazil,6/1/21,2408
Brazil,6/2/21,2507
Brazil,6/3/21,1682
Brazil,6/4/21,1454
Brazil,6/5/21,1689
Brazil,6/6/21,873
Brazil,6/7/21,1010
Brazil,6/8/21,2378
Brazil,6/9/21,2723
Brazil,6/10/21,2504
Brazil,6/11/21,2216
Brazil,6/12/21,2037
Brazil,6/13/21,1129
Brazil,6/14/21,827
Brazil,6/15/21,2468
Brazil,6/16/21,2997
Brazil,6/17/21,2311
Brazil,6/18/21,2495
Brazil,6/19/21,2301
Brazil,6/20/21,1025
Brazil,6/21/21,761
Brazil,6/22/21,2131
Brazil,6/23/21,2392
Brazil,6/24/21,2032
Brazil,6/25/21,2001
Brazil,6/26/21,1593
Brazil,6/27/21,739
Brazil,6/28/21,618
Brazil,6/29/21,1893
Brazil,6/30/21,2081
Brazil,7/1/21,2029
Brazil,7/2/21,1857
Brazil,7/3/21,1635
Brazil,7/4/21,830
Brazil,7/5/21,695
Brazil,7/6/21,1780
Brazil,7/7/21,1648
Brazil,7/8/21,1639
Brazil,7/9/21,1509
Brazil,7/10/21,1205
Brazil,7/11/21,595
Brazil,7/12/21,745
Brazil,7/13/21,1605
Brazil,7/14/21,1556
Brazil,7/15/21,1548
Brazil,7/16/21,1456
Brazil,7/17/21,868
Brazil,7/18/21,948
Brazil,7/19/21,542
Brazil,7/20/21,1424
Brazil,7/21/21,1424
Brazil,7/22/21,1412
Brazil,7/23/21,1324
Brazil,7/24/21,1108
Brazil,7/25/21,476
Brazil,7/26/21,578
Brazil,7/27/21,1333
Brazil,7/28/21,1344
Brazil,7/29/21,1318
Brazil,7/30/21,963
Brazil,7/31/21,910
Brazil,8/1/21,464
Brazil,8/2/21,389
Brazil,8/3/21,1209
Brazil,8/4/21,1175
Brazil,8/5/21,1099
Brazil,8/6/21,1056
Brazil,8/7/21,990
Brazil,8/8/21,399
Brazil,8/9/21,411
Brazil,8/10/21,1211
Brazil,8/11/21,975
Brazil,8/12/21,1148
Brazil,8/13/21,966
Brazil,8/14/21,926
Brazil,8/15/21,270
Brazil,8/16/21,434
Brazil,8/17/21,1106
Brazil,8/18/21,1064
Brazil,8/19/21,979
Brazil,8/20/21,870
Brazil,8/21/21,698
Brazil,8/22/21,318
Brazil,8/23/21,321
Brazil,8/24/21,894
Brazil,8/25/21,903
Brazil,8/26/21,920
Brazil,8/27/21,761
Brazil,8/28/21,684
Brazil,8/29/21,298
Brazil,8/30/21,266
India,1/23/20,0
India,1/24/20,0
India,1/25/20,0
India,1/26/20,0
India,1/27/20,0
India,1/28/20,0
India,1/29/20,0
India,1/30/20,0
India,1/31/20,0
India,2/1/20,0
India,2/2/20,0
India,2/3/20,0
India,2/4/20,0
India,2/5/20,0
India,2/6/20,0
India,2/7/20,0
India,2/8/20,0
India,2/9/20,0
India,2/10/20,0
India,2/11/20,0
India,2/12/20,0
India,2/13/20,0
India,2/14/20,0
India,2/15/20,0
India,2/16/20,0
India,2/17/20,0
India,2/18/20,0
India,2/19/20,0
India,2/20/20,0
India,2/21/20,0
India,2/22/20,0
India,2/23/20,0
India,2/24/20,0
India,2/25/20,0
India,2/26/20,0
India,2/27/20,0
India,2/28/20,0
India,2/29/20,0
India,3/1/20,0
India,3/2/20,0
India,3/3/20,0
India,3/4/20,0
India,3/5/20,0
India,3/6/20,0
India,3/7/20,0
India,3/8/20,0
India,3/9/20,0
India,3/10/20,0
India,3/11/20,1
India,3/12/20,0
India,3/13/20,1
India,3/14/20,0
India,3/15/20,0
India,3/16/20,0
India,3/17/20,1
India,3/18/20,0
India,3/19/20,1
India,3/20/20,1
India,3/21/20,-1
India,3/22/20,3
India,3/23/20,3
India,3/24/20,0
India,3/25/20,2
India,3/26/20,8
India,3/27/20,0
India,3/28/20,4
India,3/29/20,3
India,3/30/20,5
India,3/31/20,3
India,4/1/20,23
India,4/2/20,14
India,4/3/20,0
India,4/4/20,14
India,4/5/20,13
India,4/6/20,37
India,4/7/20,14
India,4/8/20,28
India,4/9/20,48
India,4/10/20,20
India,4/11/20,42
India,4/12/20,43
India,4/13/20,27
India,4/14/20,35
India,4/15/20,12
India,4/16/20,43
India,4/17/20,38
India,4/18/20,35
India,4/19/20,38
India,4/20/20,33
India,4/21/20,53
India,4/22/20,36
India,4/23/20,40
India,4/24/20,59
India,4/25/20,45
India,4/26/20,56
India,4/27/20,58
India,4/28/20,69
India,4/29/20,71
India,4/30/20,75
India,5/1/20,69
India,5/2/20,100
India,5/3/20,68
India,5/4/20,175
India,5/5/20,127
India,5/6/20,92
India,5/7/20,104
India,5/8/20,96
India,5/9/20,116
India,5/10/20,111
India,5/11/20,82
India,5/12/20,121
India,5/13/20,136
India,5/14/20,98
India,5/15/20,104
India,5/16/20,118
India,5/17/20,154
India,5/18/20,131
India,5/19/20,146
India,5/20/20,132
India,5/21/20,150
India,5/22/20,142
India,5/23/20,142
India,5/24/20,156
India,5/25/20,148
India,5/26/20,172
India,5/27/20,190
India,5/28/20,177
India,5/29/20,269
India,5/30/20,205
India,5/31/20,223
India,6/1/20,200
India,6/2/20,221
India,6/3/20,259
India,6/4/20,275
India,6/5/20,286
India,6/6/20,297
India,6/7/20,261
India,6/8/20,266
India,6/9/20,277
India,6/10/20,352
India,6/11/20,396
India,6/12/20,386
India,6/13/20,311
India,6/14/20,325
India,6/15/20,380
India,6/16/20,2003
India,6/17/20,334
India,6/18/20,336
India,6/19/20,375
India,6/20/20,306
India,6/21/20,445
India,6/22/20,312
India,6/23/20,465
India,6/24/20,418
India,6/25/20,407
India,6/26/20,384
India,6/27/20,410
India,6/28/20,380
India,6/29/20,418
India,6/30/20,507
India,7/1/20,434
India,7/2/20,379
India,7/3/20,442
India,7/4/20,613
India,7/5/20,425
India,7/6/20,466
India,7/7/20,483
India,7/8/20,487
India,7/9/20,475
India,7/10/20,519
India,7/11/20,550
India,7/12/20,501
India,7/13/20,553
India,7/14/20,582
India,7/15/20,605
India,7/16/20,688
India,7/17/20,671
India,7/18/20,543
India,7/19/20,681
India,7/20/20,585
India,7/21/20,650
India,7/22/20,1129
India,7/23/20,740
India,7/24/20,757
India,7/25/20,702
India,7/26/20,711
India,7/27/20,637
India,7/28/20,785
India,7/29/20,762
India,7/30/20,763
India,7/31/20,793
India,8/1/20,853
India,8/2/20,771
India,8/3/20,803
India,8/4/20,857
India,8/5/20,904
India,8/6/20,886
India,8/7/20,933
India,8/8/20,861
India,8/9/20,1007
India,8/10/20,871
India,8/11/20,834
India,8/12/20,942
India,8/13/20,1007
India,8/14/20,996
India,8/15/20,944
India,8/16/20,941
India,8/17/20,876
India,8/18/20,1091
India,8/19/20,978
India,8/20/20,983
India,8/21/20,945
India,8/22/20,912
India,8/23/20,836
India,8/24/20,848
India,8/25/20,967
India,8/26/20,1115
India,8/27/20,1057
India,8/28/20,1021
India,8/29/20,948
India,8/30/20,971
India,8/31/20,819
India,9/1/20,1045
India,9/2/20,1043
India,9/3/20,1096
India,9/4/20,1089
India,9/5/20,1065
India,9/6/20,1016
India,9/7/20,1133
India,9/8/20,1115
India,9/9/20,1172
India,9/10/20,1209
India,9/11/20,1201
India,9/12/20,1114
India,9/13/20,1136
India,9/14/20,1054
India,9/15/20,1290
India,9/16/20,1132
India,9/17/20,1174
India,9/18/20,1247
India,9/19/20,1133
India,9/20/20,1130
India,9/21/20,1053
India,9/22/20,1085
India,9/23/20,1129
India,9/24/20,1141
India,9/25/20,1089
India,9/26/20,1124
India,9/27/20,1039
India,9/28/20,776
India,9/29/20,1179
India,9/30/20,1181
India,10/1/20,1095
India,10/2/20,1069
India,10/3/20,940
India,10/4/20,903
India,10/5/20,884
India,10/6/20,986
India,10/7/20,971
India,10/8/20,964
India,10/9/20,926
India,10/10/20,918
India,10/11/20,816
India,10/12/20,706
India,10/13/20,730
India,10/14/20,680
India,10/15/20,895
India,10/16/20,837
India,10/17/20,1033
India,10/18/20,579
India,10/19/20,587
India,10/20/20,717
India,10/21/20,702
India,10/22/20,690
India,10/23/20,650
India,10/24/20,578
India,10/25/20,480
India,10/26/20,488
India,10/27/20,508
India,10/28/20,517
India,10/29/20,563
India,10/30/20,551
India,10/31/20,470
India,11/1/20,496
India,11/2/20,490
India,11/3/20,514
India,11/4/20,704
India,11/5/20,670
India,11/6/20,577
India,11/7/20,559
India,11/8/20,490
India,11/9/20,448
India,11/10/20,512
India,11/11/20,550
India,11/12/20,547
India,11/13/20,520
India,11/14/20,447
India,11/15/20,435
India,11/16/20,449
India,11/17/20,474
India,11/18/20,585
India,11/19/20,584
India,11/20/20,564
India,11/21/20,501
India,11/22/20,511
India,11/23/20,480
India,11/24/20,481
India,11/25/20,524
India,11/26/20,492
India,11/27/20,485
India,11/28/20,496
India,11/29/20,443
India,11/30/20,482
India,12/1/20,501
India,12/2/20,526
India,12/3/20,540
India,12/4/20,512
India,12/5/20,482
India,12/6/20,391
India,12/7/20,385
India,12/8/20,402
India,12/9/20,412
India,12/10/20,413
India,12/11/20,443
India,12/12/20,391
India,12/13/20,336
India,12/14/20,354
India,12/15/20,387
India,12/16/20,355
India,12/17/20,338
India,12/18/20,347
India,12/19/20,341
India,12/20/20,333
India,12/21/20,301
India,12/22/20,333
India,12/23/20,312
India,12/24/20,336
India,12/25/20,251
India,12/26/20,279
India,12/27/20,279
India,12/28/20,252
India,12/29/20,286
India,12/30/20,299
India,12/31/20,256
India,1/1/21,480
India,1/2/21,-39
India,1/3/21,214
India,1/4/21,201
India,1/5/21,264
India,1/6/21,222
India,1/7/21,234
India,1/8/21,0
India,1/9/21,429
India,1/10/21,161
India,1/11/21,167
India,1/12/21,202
India,1/13/21,198
India,1/14/21,191
India,1/15/21,175
India,1/16/21,181
India,1/17/21,145
India,1/18/21,137
India,1/19/21,162
India,1/20/21,151
India,1/21/21,163
India,1/22/21,152
India,1/23/21,155
India,1/24/21,131
India,1/25/21,117
India,1/26/21,137
India,1/27/21,123
India,1/28/21,163
India,1/29/21,137
India,1/30/21,127
India,1/31/21,118
India,2/1/21,94
India,2/2/21,110
India,2/3/21,107
India,2/4/21,120
India,2/5/21,95
India,2/6/21,78
India,2/7/21,84
India,2/8/21,78
India,2/9/21,94
India,2/10/21,108
India,2/11/21,87
India,2/12/21,103
India,2/13/21,92
India,2/14/21,90
India,2/15/21,81
India,2/16/21,100
India,2/17/21,101
India,2/18/21,97
India,2/19/21,101
India,2/20/21,90
India,2/21/21,83
India,2/22/21,78
India,2/23/21,104
India,2/24/21,138
India,2/25/21,120
India,2/26/21,113
India,2/27/21,113
India,2/28/21,106
India,3/1/21,91
India,3/2/21,98
India,3/3/21,89
India,3/4/21,113
India,3/5/21,108
India,3/6/21,100
India,3/7/21,97
India,3/8/21,77
India,3/9/21,133
India,3/10/21,126
India,3/11/21,117
India,3/12/21,140
India,3/13/21,161
India,3/14/21,118
India,3/15/21,131
India,3/16/21,188
India,3/17/21,172
India,3/18/21,154
India,3/19/21,188
India,3/20/21,197
India,3/21/21,212
India,3/22/21,199
India,3/23/21,275
India,3/24/21,251
India,3/25/21,257
India,3/26/21,291
India,3/27/21,312
India,3/28/21,291
India,3/29/21,271
India,3/30/21,354
India,3/31/21,459
India,4/1/21,469
India,4/2/21,714
India,4/3/21,513
India,4/4/21,478
India,4/5/21,446
India,4/6/21,630
India,4/7/21,685
India,4/8/21,780
India,4/9/21,794
India,4/10/21,839
India,4/11/21,904
India,4/12/21,879
India,4/13/21,1027
India,4/14/21,1038
India,4/15/21,1185
India,4/16/21,1341
India,4/17/21,1501
India,4/18/21,1619
India,4/19/21,1761
India,4/20/21,2023
India,4/21/21,2104
India,4/22/21,2263
India,4/23/21,2624
India,4/24/21,2767
India,4/25/21,2812
India,4/26/21,2771
India,4/27/21,3293
India,4/28/21,3645
India,4/29/21,3498
India,4/30/21,3523
India,5/1/21,3689
India,5/2/21,3417
India,5/3/21,3449
India,5/4/21,3780
India,5/5/21,3980
India,5/6/21,3915
India,5/7/21,4187
India,5/8/21,4077
India,5/9/21,3769
India,5/10/21,3876
India,5/11/21,4205
India,5/12/21,4120
India,5/13/21,4000
India,5/14/21,3890
India,5/15/21,4077
India,5/16/21,4106
India,5/17/21,4329
India,5/18/21,4529
India,5/19/21,3874
India,5/20/21,4209
India,5/21/21,4194
India,5/22/21,3741
India,5/23/21,4454
India,5/24/21,3511
India,5/25/21,4157
India,5/26/21,3847
India,5/27/21,3660
India,5/28/21,3617
India,5/29/21,3460
India,5/30/21,3128
India,5/31/21,2795
India,6/1/21,3207
India,6/2/21,2887
India,6/3/21,2713
India,6/4/21,3380
India,6/5/21,2677
India,6/6/21,2427
India,6/7/21,2123
India,6/8/21,2219
India,6/9/21,2177
India,6/10/21,7374
India,6/11/21,4002
India,6/12/21,3303
India,6/13/21,3921
India,6/14/21,2726
India,6/15/21,2542
India,6/16/21,2330
India,6/17/21,1587
India,6/18/21,1647
India,6/19/21,1571
India,6/20/21,1427
India,6/21/21,1167
India,6/22/21,1358
India,6/23/21,1321
India,6/24/21,1329
India,6/25/21,1183
India,6/26/21,1258
India,6/27/21,979
India,6/28/21,907
India,6/29/21,817
India,6/30/21,1005
India,7/1/21,853
India,7/2/21,738
India,7/3/21,955
India,7/4/21,723
India,7/5/21,553
India,7/6/21,930
India,7/7/21,817
India,7/8/21,911
India,7/9/21,1206
India,7/10/21,895
India,7/11/21,724
India,7/12/21,2020
India,7/13/21,622
India,7/14/21,583
India,7/15/21,542
India,7/16/21,560
India,7/17/21,518
India,7/18/21,499
India,7/19/21,374
India,7/20/21,3998
India,7/21/21,507
India,7/22/21,483
India,7/23/21,0
India,7/24/21,1081
India,7/25/21,416
India,7/26/21,415
India,7/27/21,640
India,7/28/21,640
India,7/29/21,555
India,7/30/21,593
India,7/31/21,541
India,8/1/21,422
India,8/2/21,422
India,8/3/21,562
India,8/4/21,533
India,8/5/21,464
India,8/6/21,617
India,8/7/21,491
India,8/8/21,447
India,8/9/21,373
India,8/10/21,497
India,8/11/21,490
India,8/12/21,585
India,8/13/21,478
India,8/14/21,493
India,8/15/21,417
India,8/16/21,437
India,8/17/21,440
India,8/18/21,530
India,8/19/21,540
India,8/20/21,375
India,8/21/21,403
India,8/22/21,389
India,8/23/21,354
India,8/24/21,648
India,8/25/21,607
India,8/26/21,496
India,8/27/21,509
India,8/28/21,460
India,8/29/21,380
India,8/30/21,350
USA,1/23/20,0
USA,1/24/20,0
USA,1/25/20,0
USA,1/26/20,0
USA,1/27/20,0
USA,1/28/20,0
USA,1/29/20,0
USA,1/30/20,0
USA,1/31/20,0
USA,2/1/20,0
USA,2/2/20,0
USA,2/3/20,0
