curso,sem,ano,disc,final
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.39
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.98
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.99
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.08
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.84
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.93
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.61
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.25
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.01
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.65
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.73
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.61
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.95
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.74
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,5.7
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.5
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.38
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.24
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.88
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,5.36
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,3.46
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.65
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.09
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.27
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.43
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.96
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,5.5
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.63
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.9
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.15
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.38
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,5.97
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.03
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.27
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.23
ADM,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.62
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,6.54
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,6.95
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,6.57
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,9.84
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,5.88
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,8.18
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,4.86
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,9.3
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,9.44
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,8.11
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,7.27
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,8.1
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,8.58
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,5.11
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,7.62
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,6.26
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,6.64
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,9.21
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,6.92
ECO,19.1,19,MERCADOS E PRODUTOS FINANCEIROS,2.6
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.51
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.33
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.17
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.43
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.49
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.85
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.83
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,5.34
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.84
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.33
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.17
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.27
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,4.83
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.92
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.43
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.93
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,8.67
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,7.23
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,9.83
ECO,19.2,19,MERCADOS E PRODUTOS FINANCEIROS,6.62
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.65
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.83
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.91
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.88
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.83
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,9.31
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.81
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.78
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.37
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.48
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.84
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.64
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,10
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.78
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,10
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.9
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.09
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.08
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.32
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.08
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.27
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.57
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,4.35
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.95
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.58
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.18
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.23
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.87
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.35
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.53
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.3
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.72
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.02
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.68
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.75
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.94
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.17
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.09
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.92
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.81
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.44
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.81
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,9.32
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.06
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.97
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.33
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.28
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.56
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.87
ADM,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.18
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.22
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.16
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.99
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.53
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,9.37
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.78
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,5.62
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.58
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.07
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.29
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.52
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.42
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.66
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.45
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.94
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.27
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,5.95
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.13
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,4.99
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.2
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.53
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.8
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.81
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.89
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.9
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,5.53
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.55
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.86
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.92
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.4
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.18
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.45
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.77
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.73
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.06
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.44
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,10
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.67
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.56
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.21
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.64
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,5.93
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.66
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.4
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,5.11
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.07
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.45
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,10
ADM,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.42
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.39
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.57
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.37
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.7
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,10
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.1
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.46
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.61
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,9.07
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.11
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.54
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.5
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.64
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.03
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.25
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.47
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,8.3
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,6.69
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,5.57
ECO,22.1,22,MERCADOS E PRODUTOS FINANCEIROS,7.11
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.22
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.19
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.64
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,9.11
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.4
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.43
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.43
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.16
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,4.38
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.96
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.04
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.05
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.17
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,7.08
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.21
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,5.71
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.09
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.35
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,8.16
ECO,22.2,22,MERCADOS E PRODUTOS FINANCEIROS,6.25
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.19
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.86
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.08
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.53
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.89
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.6
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.34
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.04
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.75
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.76
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.62
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.18
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.46
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.62
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.7
ADM,18.1,18,MERCADOS E CONCORRENCIA,9.13
ADM,18.1,18,MERCADOS E CONCORRENCIA,4.69
ADM,18.1,18,MERCADOS E CONCORRENCIA,4.59
ADM,18.1,18,MERCADOS E CONCORRENCIA,9.47
ADM,18.1,18,MERCADOS E CONCORRENCIA,3.98
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.84
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.66
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.04
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.59
ADM,18.1,18,MERCADOS E CONCORRENCIA,4.38
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.94
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.32
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.54
ADM,18.1,18,MERCADOS E CONCORRENCIA,9.25
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.89
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.64
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.07
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.49
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.16
ADM,18.1,18,MERCADOS E CONCORRENCIA,10
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.69
ADM,18.1,18,MERCADOS E CONCORRENCIA,9.1
ADM,18.1,18,MERCADOS E CONCORRENCIA,10
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.43
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.91
ADM,18.1,18,MERCADOS E CONCORRENCIA,4.41
ADM,18.1,18,MERCADOS E CONCORRENCIA,4.13
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.98
ADM,18.1,18,MERCADOS E CONCORRENCIA,7
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.24
ADM,18.1,18,MERCADOS E CONCORRENCIA,5.51
ADM,18.1,18,MERCADOS E CONCORRENCIA,6.75
ADM,18.1,18,MERCADOS E CONCORRENCIA,8.24
ADM,18.1,18,MERCADOS E CONCORRENCIA,7.27
ADM,18.1,18,MERCADOS E CONCORRENCIA,3.18
ADM,18.2,18,MERCADOS E CONCORRENCIA,7.28
ADM,18.2,18,MERCADOS E CONCORRENCIA,5.32
ADM,18.2,18,MERCADOS E CONCORRENCIA,4.37
ADM,18.2,18,MERCADOS E CONCORRENCIA,7.09
ADM,18.2,18,MERCADOS E CONCORRENCIA,8.83
ADM,18.2,18,MERCADOS E CONCORRENCIA,7.75
ADM,18.2,18,MERCADOS E CONCORRENCIA,4.92
