age,gender,marriage_status,studies,dependents,last_usage_time,working,wage,type_housing,own_home,home_value,credit_cards_qty,cars_qty,score
41,F,solteiro,graduacao,0,30,1,21.38242585,2,1,1385,1,0,730.8
53,F,solteiro,ensino medio,0,40,1,66.51683747,6,0,0,1,0,302.4
42,M,casado,ensino medio,3,30,1,72.35804575,1,1,822,2,0,568
48,F,solteiro,ensino medio,0,39,1,41.0799457,2,1,1553,1,0,658.8
44,F,solteiro,graduacao,0,32,1,35.34176501,2,1,1274,1,0,581.4
35,F,casado,mestrado,3,24,1,16.29705105,4,0,0,1,0,219
40,F,divorciado,ensino medio,2,21,0,0,6,0,0,1,1,356
53,F,casado,graduacao,2,35,1,74.65817062,1,1,501,1,2,628
47,F,solteiro,doutorado,0,29,1,101.1163812,3,0,0,1,0,433.8
55,F,casado,doutorado,1,36,1,103.1622133,1,1,224,1,1,484
43,F,casado,ensino fundam,1,24,1,18.31467294,4,0,0,1,1,345
37,F,solteiro,ensino medio,0,19,1,17.68234496,4,0,0,1,0,247.5
48,M,casado,doutorado,2,32,1,194.5543205,3,1,309,2,0,679.35
38,M,solteiro,doutorado,0,21,1,119.0135533,4,0,0,1,0,344.7
34,F,na,ensino medio,2,17,1,20.50617011,4,0,0,1,0,325
54,F,casado,graduacao,3,36,1,20.18794608,2,1,240,1,0,366
49,M,solteiro,doutorado,0,32,1,123.4511881,4,0,0,1,0,217.8
37,M,casado,ensino medio,1,19,1,114.4419345,6,0,0,1,1,227
40,F,casado,mestrado,5,23,1,19.8575456,6,0,0,1,0,290
45,F,solteiro,graduacao,1,27,1,66.9255729,3,0,0,1,0,343.8
51,F,casado,graduacao,0,32,1,21.98880439,5,0,0,1,0,492
53,F,na,ensino fundam,2,34,1,23.6838813,2,1,443,1,1,518
53,F,solteiro,ensino fundam,0,34,1,71.02435315,5,0,0,1,1,495
40,F,casado,ensino medio,4,21,1,17.10831502,3,1,160,1,1,331
51,M,casado,ensino fundam,0,36,1,200.1854149,5,0,0,2,0,641
56,M,casado,mestrado,1,39,1,131.8010234,6,0,0,1,0,376
51,F,divorciado,graduacao,2,35,1,23.73733405,2,1,487,1,0,367
39,M,solteiro,ensino fundam,0,22,1,116.1750167,6,0,0,1,0,228.6
32,M,solteiro,ensino fundam,0,15,1,105.514945,2,1,1495,1,1,665.1
54,F,na,ensino medio,4,36,1,69.26232962,2,1,266,1,1,336
40,M,solteiro,doutorado,1,22,1,92.25818201,3,0,0,1,0,436.5
49,F,solteiro,ensino medio,0,30,1,64.79343632,5,0,0,1,1,354.6
34,M,casado,mestrado,1,18,1,106.9624936,3,1,1472,1,1,683
39,F,solteiro,ensino medio,1,20,0,0,1,1,493,1,1,303.12
54,F,casado,graduacao,1,45,1,42.59991513,2,1,1520,1,1,762
52,F,casado,graduacao,1,34,1,23.96407191,2,1,476,1,1,473
38,F,casado,ensino medio,4,19,1,62.67183254,4,0,0,1,0,401
50,F,casado,graduacao,2,34,1,23.49747265,6,0,0,1,1,449
52,M,solteiro,graduacao,0,35,1,196.6317605,6,0,0,1,1,585
42,F,solteiro,ensino medio,0,26,1,21.69564569,6,0,0,1,0,342.9
50,F,casado,ensino medio,1,33,1,22.09702257,5,0,0,1,1,459
56,M,divorciado,ensino medio,2,42,1,204.0167712,3,1,433,1,1,519
54,F,casado,graduacao,3,36,0,0,4,0,0,1,0,317.6
56,M,solteiro,graduacao,1,39,1,141.2415217,4,0,0,1,1,687.6
41,F,casado,doutorado,2,30,1,91.84827572,6,0,0,1,0,375
58,F,solteiro,mestrado,0,39,1,25.23898138,4,0,0,1,1,542.7
51,M,solteiro,ensino fundam,0,37,1,194.7265334,6,0,0,1,1,467.1
45,F,casado,graduacao,3,32,0,0,4,0,0,1,1,358.4
58,M,divorciado,graduacao,2,44,1,107.1545738,6,0,0,1,1,475
38,F,casado,mestrado,2,25,1,16.71376946,3,1,298,1,1,347
49,M,casado,graduacao,0,37,1,99.67200565,6,0,0,1,0,525
33,M,casado,graduacao,3,21,1,60.95740269,1,1,407,1,1,400
48,M,solteiro,mestrado,0,38,1,195.1208477,4,0,0,1,0,617.382
59,M,solteiro,mestrado,0,47,1,71.86244379,3,0,0,2,0,484.2
59,M,na,mestrado,0,44,1,106.3587532,2,1,260,1,2,686
53,F,solteiro,ensino medio,0,40,1,24.03293846,6,0,0,1,1,506.7
40,F,casado,ensino fundam,2,28,1,16.65088073,4,0,0,2,1,325
44,M,casado,ensino medio,3,31,1,93.97394161,5,0,0,1,1,488
48,F,casado,graduacao,3,36,1,70.65394862,3,1,460,1,1,493
38,M,solteiro,ensino medio,0,23,1,20.12749001,4,0,0,1,1,471.6
38,F,solteiro,graduacao,0,20,1,17.79865759,3,0,0,1,0,294.3
40,F,casado,ensino fundam,4,21,1,61.98973238,5,0,0,1,1,336
37,F,casado,mestrado,2,21,1,129.5217208,2,1,743,2,1,601
42,F,solteiro,ensino medio,0,24,1,66.93755411,6,0,0,2,0,441.9
37,M,solteiro,ensino fundam,0,20,1,120.4947812,4,0,0,1,0,485.1
40,M,na,ensino medio,5,23,1,59.69852636,6,0,0,1,1,308
43,F,solteiro,ensino fundam,0,27,1,21.75337354,3,0,0,1,0,297.9
36,M,solteiro,ensino medio,0,16,1,89.51992725,3,0,0,1,1,510.3
44,M,casado,ensino medio,1,30,1,134.9104309,2,1,767,3,0,687
51,F,solteiro,mestrado,0,33,1,19.01383684,2,1,191,1,1,367.2
53,M,solteiro,ensino medio,0,35,1,198.0754264,4,0,0,1,1,455.4
58,F,casado,ensino fundam,2,41,1,19.37138761,6,0,0,1,1,346
59,M,solteiro,graduacao,0,43,1,23.94759126,2,1,446,1,0,419.4
42,F,casado,ensino fundam,1,24,1,21.99821062,5,0,0,1,1,461
44,M,na,ensino fundam,1,28,1,125.7001539,6,0,0,1,0,381
56,M,casado,ensino fundam,2,39,1,98.7083375,3,1,269,1,1,340
43,M,divorciado,ensino medio,3,32,1,115.282199,2,1,1473,1,0,788
43,M,na,doutorado,4,26,1,92.58027494,3,1,206,1,0,432
36,M,solteiro,ensino fundam,0,19,1,93.03649087,4,0,0,1,0,422.1
55,M,casado,doutorado,3,37,1,197.3667639,4,0,0,1,1,469.35
43,M,divorciado,ensino fundam,3,28,1,89.54976882,3,1,255,1,1,257
48,M,divorciado,doutorado,3,34,1,150.8464654,4,0,0,1,0,712
46,M,casado,ensino medio,3,29,1,129.3335031,5,0,0,1,0,598
65,F,solteiro,mestrado,0,46,1,22.66248678,3,0,0,1,1,520.2
53,M,solteiro,graduacao,0,36,1,128.3425046,6,0,0,1,0,307.8
52,M,casado,ensino medio,2,41,1,143.5487468,1,1,775,1,1,763
50,M,casado,graduacao,1,36,1,36.08226151,2,1,1254,1,0,674
27,M,solteiro,ensino medio,0,13,1,34.58323366,2,1,1566,1,0,613.8
50,M,casado,ensino fundam,4,34,1,65.91403903,6,0,0,1,0,442
43,F,casado,ensino medio,3,29,1,64.63462885,4,0,0,1,1,383
40,F,casado,doutorado,2,23,1,61.23689373,2,1,163,1,0,300
39,M,casado,ensino medio,4,26,1,181.8230484,3,1,345,1,1,596
31,F,casado,ensino medio,0,19,1,19.84965083,5,0,0,1,0,318
40,M,solteiro,ensino medio,1,29,1,92.38995786,4,0,0,1,0,360
46,M,solteiro,ensino fundam,1,34,1,182.1038533,5,0,0,1,0,299.7
33,M,solteiro,doutorado,0,22,1,172.2213614,5,0,0,1,0,402.57
39,F,solteiro,ensino medio,0,27,1,103.1112464,2,1,878,1,0,574.2
41,F,solteiro,ensino medio,0,28,1,62.86066801,4,0,0,1,1,360
53,F,solteiro,ensino medio,0,40,1,21.06317895,3,0,0,1,1,516.6
43,F,divorciado,doutorado,3,30,1,98.6216845,6,0,0,1,1,503
49,M,casado,ensino medio,4,37,1,100.3133055,3,1,423,1,1,482
61,F,casado,ensino medio,0,49,1,19.28953241,4,0,0,1,1,359
49,F,na,ensino medio,5,33,1,23.11220837,1,1,444,1,1,528
53,M,casado,ensino fundam,2,37,1,71.87596549,2,1,477,1,1,494
63,F,casado,ensino fundam,1,48,1,71.58430694,3,1,154,1,0,365
59,M,solteiro,graduacao,0,43,1,105.5991394,4,0,0,1,0,454.5
32,M,casado,graduacao,1,17,1,57.58517706,4,0,0,1,0,290
63,F,casado,ensino fundam,0,46,1,20.09967513,5,0,0,1,1,394
56,F,solteiro,mestrado,0,40,1,24.0979271,4,0,0,1,0,468.9
39,F,na,ensino medio,1,23,1,20.82734101,4,0,0,1,1,389
53,M,casado,graduacao,2,37,1,193.7008726,3,1,295,1,1,424
52,F,solteiro,ensino medio,0,36,1,23.54643331,2,1,450,1,0,471.6
61,F,casado,graduacao,0,44,1,21.49733857,1,1,242,1,0,541
55,M,solteiro,mestrado,0,37,1,197.8345168,3,0,0,1,1,549.711
44,F,casado,ensino fundam,2,28,1,20.61930492,5,0,0,1,1,382
52,F,casado,ensino fundam,3,36,1,23.43575437,1,1,443,1,1,474
53,M,casado,doutorado,2,37,1,100.1925991,3,1,217,1,1,534
55,F,solteiro,ensino medio,0,39,1,24.08814526,6,0,0,1,1,486.9
50,F,casado,ensino medio,2,36,1,24.11469771,2,1,510,1,0,436
36,M,casado,ensino fundam,2,29,1,80.92871859,1,1,1524,3,0,773
33,F,casado,ensino medio,1,18,1,20.713882,2,1,470,1,1,388
35,F,casado,ensino medio,2,22,0,0,2,1,473,1,1,391.2
43,F,solteiro,graduacao,2,31,1,21.70894637,6,0,0,1,0,395.1
39,F,solteiro,ensino fundam,1,26,1,22.14494473,5,0,0,1,1,423
29,M,solteiro,ensino fundam,0,16,1,109.7479886,5,0,0,1,1,323.1
57,M,casado,ensino medio,1,44,1,134.4692935,5,0,0,1,1,467
43,M,na,ensino fundam,3,30,1,95.63078504,4,0,0,1,0,546
42,F,solteiro,ensino fundam,1,29,1,20.88245669,6,0,0,2,1,467.1
48,M,casado,ensino medio,3,37,1,99.55173176,6,0,0,1,0,399
49,M,na,ensino fundam,4,37,1,133.1755147,2,1,548,1,1,456
44,F,casado,ensino fundam,3,33,1,69.04005486,3,1,508,1,0,427
38,M,casado,ensino fundam,2,24,1,17.28315244,4,0,0,1,0,291
58,M,solteiro,ensino fundam,0,44,1,209.9460831,1,1,486,2,1,641.7
44,M,solteiro,ensino fundam,0,26,1,126.9985343,5,0,0,1,1,495.9
54,M,casado,doutorado,3,38,1,198.0514656,3,1,187,1,1,552.3
37,F,casado,ensino medio,3,22,0,0,3,1,157,1,1,241.6
56,F,solteiro,ensino fundam,0,41,1,19.95923547,3,0,0,1,0,347.4
41,M,divorciado,graduacao,3,27,1,132.6116254,1,1,800,1,1,688
47,M,solteiro,ensino medio,0,31,1,74.11097029,4,0,0,1,1,531.9
43,F,solteiro,ensino fundam,0,27,1,22.9872559,3,0,0,1,1,438.3
49,M,solteiro,ensino medio,0,33,1,137.0137648,2,1,733,1,1,529.2
54,F,casado,graduacao,1,49,1,38.30296191,1,1,1259,2,1,793
63,F,casado,mestrado,0,51,0,0,5,0,0,1,1,424
47,F,divorciado,ensino medio,3,37,1,21.73188308,5,0,0,1,0,418
58,F,solteiro,doutorado,0,45,1,69.83598025,5,0,0,2,0,464.4
33,F,na,mestrado,2,20,1,58.81173562,4,0,0,1,1,303
53,F,casado,ensino medio,5,47,1,91.66342606,1,1,1457,1,1,764
35,M,solteiro,doutorado,0,20,1,58.78563662,4,0,0,1,1,326.7
42,M,solteiro,mestrado,0,28,1,93.31304346,4,0,0,1,0,394.2
49,M,solteiro,graduacao,0,37,1,122.2621918,1,1,1642,1,0,737.1
53,M,casado,ensino fundam,1,40,1,64.82451324,5,0,0,1,0,291
58,F,solteiro,ensino medio,0,43,1,73.21505662,3,0,0,1,1,462.6
47,M,solteiro,graduacao,2,34,1,42.78851732,4,0,0,1,1,743.4
49,F,solteiro,mestrado,0,36,1,75.71701987,2,1,738,1,0,514.8
58,F,casado,ensino medio,0,45,1,76.23611736,2,1,496,1,1,521
42,F,divorciado,ensino medio,2,29,1,67.08457923,6,0,0,1,1,412
47,F,casado,ensino fundam,3,32,1,21.69937989,5,0,0,1,2,499
48,M,casado,mestrado,2,34,1,130.1376048,4,0,0,1,1,528
43,F,divorciado,graduacao,4,29,1,19.17090603,2,1,261,1,1,420
39,M,casado,mestrado,2,25,1,88.76574006,6,0,0,1,0,378
56,F,casado,mestrado,2,43,1,74.51634528,6,0,0,1,0,516
39,F,na,ensino fundam,2,26,1,62.50152869,1,1,260,1,1,349
49,M,na,graduacao,3,37,1,69.80539916,4,0,0,1,0,437
41,M,casado,ensino fundam,3,29,1,92.76291573,3,1,380,1,0,312
35,M,na,ensino medio,1,22,1,118.1285783,4,0,0,1,1,475
65,M,solteiro,mestrado,0,54,1,143.4338432,3,0,0,1,0,504
34,M,na,doutorado,3,20,1,90.50621591,4,0,0,2,1,551
41,M,casado,ensino medio,1,29,1,131.53084,3,1,683,1,1,743
53,M,solteiro,ensino fundam,0,40,1,134.5148189,4,0,0,1,0,436.5
46,M,casado,graduacao,3,32,1,97.99904322,4,0,0,1,1,572
41,M,solteiro,doutorado,0,29,1,93.20179598,4,0,0,1,0,396
51,F,casado,graduacao,3,37,1,23.97434533,6,0,0,1,1,549
45,M,divorciado,graduacao,4,32,1,19.05033157,4,0,0,1,1,358
51,F,solteiro,graduacao,0,37,1,23.68251243,1,1,453,1,1,585
51,M,solteiro,ensino fundam,0,36,1,214.8714314,2,1,1363,1,0,648.9
43,F,casado,ensino medio,5,33,0,0,5,0,0,1,0,316
49,F,solteiro,ensino medio,1,26,1,76.09881527,1,1,769,1,1,500.4
46,F,casado,ensino fundam,3,36,1,68.69149539,6,0,0,1,1,491
57,F,na,graduacao,3,35,1,24.71423361,6,0,0,1,2,587
46,M,casado,graduacao,2,29,1,66.78365502,4,0,0,1,1,435
40,M,casado,mestrado,4,20,1,124.3487702,6,0,0,1,1,506
35,M,solteiro,ensino medio,0,14,1,59.79145536,6,0,0,2,1,408.6
38,F,solteiro,graduacao,0,17,1,20.11552076,4,0,0,1,1,378
43,M,solteiro,ensino fundam,0,32,1,90.77021942,6,0,0,1,0,319.5
49,M,casado,graduacao,4,31,0,0,2,1,355,1,0,304
46,M,divorciado,ensino medio,1,28,1,187.5017683,6,0,0,1,1,376
65,F,divorciado,ensino medio,0,49,1,78.6571549,3,1,407,1,1,605
43,M,casado,ensino medio,3,30,1,123.3516013,3,1,198,1,2,522
57,F,casado,ensino fundam,3,46,1,68.79125315,4,0,0,1,1,390
50,M,casado,ensino medio,2,40,1,198.4775676,1,1,479,1,1,603
30,M,divorciado,ensino medio,0,22,1,111.5225562,6,0,0,1,0,399
39,F,solteiro,graduacao,0,20,1,22.18773587,5,0,0,1,1,399.6
50,M,casado,doutorado,1,33,1,195.2803589,6,0,0,1,1,599.55
55,M,casado,graduacao,2,46,1,132.93011,3,1,217,1,0,437
40,M,na,graduacao,3,30,1,18.19622495,1,1,248,1,0,416
43,F,solteiro,graduacao,0,33,1,22.94251827,5,0,0,1,1,481.5
45,M,solteiro,ensino medio,0,35,1,76.06109313,1,1,950,1,1,597.6
44,F,solteiro,graduacao,0,24,1,20.86861432,2,1,381,1,0,291.6
58,M,divorciado,graduacao,2,52,1,107.1658647,6,0,0,1,1,677
58,M,solteiro,mestrado,0,50,1,134.9583025,1,1,184,1,0,436.5
47,M,divorciado,ensino medio,2,39,1,126.3043815,3,1,253,1,1,411
31,M,divorciado,ensino medio,0,24,1,84.4212336,6,0,0,1,0,318
50,F,casado,ensino medio,1,43,1,24.94856167,3,1,553,1,0,498
55,M,solteiro,mestrado,0,46,1,67.67652686,6,0,0,1,1,397.8
59,F,casado,ensino medio,0,50,1,25.51735384,4,0,0,1,2,699
35,M,na,doutorado,3,28,1,112.3657454,2,1,222,1,0,312
53,F,casado,ensino fundam,1,44,1,69.58668191,3,1,231,1,0,539
48,M,casado,mestrado,2,39,1,70.06777855,1,1,468,1,1,597
47,F,casado,graduacao,2,36,1,22.9302556,6,0,0,1,0,391
47,M,casado,ensino medio,4,40,1,67.14653928,5,0,0,1,0,630
50,M,solteiro,doutorado,0,43,1,199.4241809,5,0,0,1,1,635.04
41,F,casado,ensino fundam,3,33,0,0,6,0,0,1,0,409.6
42,F,divorciado,graduacao,5,34,1,23.85649056,5,0,0,1,1,512
35,F,casado,ensino fundam,1,27,1,20.79947269,4,0,0,1,1,466
45,F,casado,ensino fundam,4,37,1,18.60820095,3,1,211,1,1,391
39,M,casado,mestrado,3,29,1,121.294156,6,0,0,1,2,663
34,F,solteiro,ensino medio,1,26,1,63.17162163,5,0,0,1,0,407.7
55,F,solteiro,ensino medio,0,49,1,30.83771277,1,1,829,2,0,666.9
41,M,casado,graduacao,3,39,1,114.9960315,1,1,1495,2,1,881
59,M,casado,ensino medio,0,51,1,69.57603828,3,1,180,1,1,469
44,F,casado,mestrado,3,35,1,129.2853072,4,0,0,1,1,574
43,M,casado,mestrado,4,36,1,94.41911893,4,0,0,1,0,396
55,M,divorciado,mestrado,2,46,1,101.7071795,4,0,0,1,2,644
46,M,na,ensino medio,3,33,1,130.076201,6,0,0,1,2,574
62,M,na,ensino medio,0,57,1,148.5266585,4,0,0,1,1,781
53,F,casado,ensino medio,3,41,1,19.99340215,5,0,0,1,2,594
58,M,solteiro,ensino medio,1,51,1,200.5130014,6,0,0,1,0,456.3
57,M,casado,doutorado,4,51,1,203.1694132,4,0,0,1,1,614.25
42,F,solteiro,ensino fundam,1,35,1,68.17403205,3,0,0,1,0,397.8
51,M,solteiro,doutorado,0,43,1,197.2701236,4,0,0,1,0,583.065
37,F,casado,ensino fundam,0,29,1,17.36050921,5,0,0,1,1,351
43,M,solteiro,mestrado,0,34,1,95.61521448,4,0,0,2,1,582.3
45,M,divorciado,mestrado,1,37,1,97.62341466,4,0,0,1,1,530
54,F,casado,mestrado,2,42,1,67.49313735,5,0,0,1,0,302
41,M,casado,graduacao,3,31,1,59.19021322,4,0,0,1,1,256
56,F,divorciado,ensino medio,2,48,1,107.0501744,5,0,0,1,1,502
40,M,casado,ensino fundam,2,31,1,93.54741687,6,0,0,1,1,446
31,F,divorciado,graduacao,1,24,1,20.48744097,2,1,479,1,0,364
38,M,casado,graduacao,2,30,1,59.73336267,3,1,200,1,1,306
54,F,solteiro,ensino medio,0,47,0,0,1,1,785,1,0,450
39,F,solteiro,graduacao,0,30,1,20.75357717,6,0,0,1,1,423
56,F,casado,graduacao,1,54,1,24.07330893,1,1,1394,1,1,853
34,F,solteiro,ensino medio,1,25,1,62.28933876,2,1,378,1,1,410.4
55,M,casado,ensino medio,1,48,1,134.312415,4,0,0,1,1,632
49,F,casado,ensino medio,1,40,1,20.48411612,5,0,0,1,1,472
36,M,casado,graduacao,2,31,1,137.0398408,2,1,1446,1,0,667
26,F,casado,ensino fundam,0,18,1,19.65332665,2,1,475,1,1,370
33,M,casado,graduacao,3,19,1,117.2095587,5,0,0,1,1,466
36,F,divorciado,mestrado,0,27,1,59.56102482,1,1,291,1,0,368
53,F,solteiro,graduacao,0,45,1,23.72092134,6,0,0,1,0,508.5
43,F,casado,ensino medio,0,43,1,42.67795139,2,1,1712,1,0,789
52,M,solteiro,ensino medio,0,44,1,102.0758483,4,0,0,1,0,511.2
37,F,casado,graduacao,2,28,1,17.92764354,5,0,0,1,1,393
51,F,solteiro,ensino fundam,0,43,0,0,2,1,451,1,0,395.28
46,M,solteiro,doutorado,0,38,1,62.70314721,4,0,0,2,0,369
40,M,divorciado,ensino fundam,3,31,1,93.754114,3,1,339,1,1,564
41,M,na,ensino fundam,2,22,1,124.5479572,3,1,408,1,0,506
44,M,casado,ensino medio,2,37,1,66.66217408,4,0,0,1,0,442
50,M,solteiro,mestrado,0,42,1,101.8094378,1,1,491,1,0,457.2
45,M,casado,ensino fundam,5,36,1,94.70211004,2,1,266,1,1,423
46,M,na,mestrado,5,36,1,64.79898389,5,0,0,1,2,511
49,F,solteiro,ensino medio,0,40,1,20.03822887,6,0,0,1,1,445.5
54,F,solteiro,ensino medio,0,47,1,21.90104245,6,0,0,1,0,460.8
37,F,casado,ensino medio,4,29,1,17.33095047,5,0,0,1,1,324
61,F,na,ensino medio,1,54,1,77.78747276,4,0,0,1,1,640
47,F,solteiro,graduacao,0,38,1,64.8647861,4,0,0,1,1,400.5
50,F,casado,graduacao,3,39,1,22.83909804,4,0,0,1,1,533
42,F,casado,graduacao,4,33,1,16.56416172,2,1,247,3,1,428
59,F,solteiro,ensino medio,0,51,1,77.36207333,2,1,535,1,0,518.4
53,F,casado,ensino fundam,4,45,1,23.03273625,3,1,406,1,1,494
43,F,casado,ensino fundam,2,36,1,29.38359481,3,1,895,1,1,632
59,M,solteiro,ensino medio,0,53,1,210.9277918,6,0,0,1,0,669.6
60,M,casado,ensino fundam,0,53,1,101.9358491,4,0,0,1,0,334
48,M,casado,graduacao,2,41,1,76.85220678,2,1,858,1,1,690
50,F,casado,mestrado,2,44,0,0,6,0,0,1,0,504.8
42,F,solteiro,mestrado,1,33,1,20.25704231,4,0,0,2,1,477.9
44,M,casado,ensino fundam,3,37,1,122.1955535,3,1,205,1,0,342
51,M,casado,ensino fundam,2,44,1,135.2235969,3,1,393,1,1,670
59,F,casado,ensino fundam,0,51,1,75.82963994,3,1,446,1,1,517
44,F,casado,ensino fundam,1,36,1,17.40223039,5,0,0,1,0,371
49,M,solteiro,mestrado,0,40,1,131.3689618,3,0,0,1,1,525.6
47,M,solteiro,ensino fundam,0,40,1,105.271625,2,1,719,1,1,657.9
34,M,solteiro,doutorado,2,25,1,116.5476225,3,0,0,2,1,552.6
43,M,na,doutorado,1,34,1,97.32885841,4,0,0,1,0,561
52,F,casado,ensino medio,1,45,1,72.43051651,5,0,0,1,0,490
35,M,na,mestrado,2,28,1,168.3858872,5,0,0,1,0,245.14
42,F,casado,ensino medio,5,34,1,21.91665309,5,0,0,1,0,516
52,M,divorciado,mestrado,2,45,1,69.34100589,5,0,0,1,0,424
56,M,casado,ensino medio,1,46,1,137.1055287,3,1,236,1,2,671
70,M,casado,graduacao,0,54,1,19.851722,3,1,273,1,1,401
50,M,divorciado,ensino fundam,4,42,1,98.21492189,4,0,0,1,1,526
56,F,casado,graduacao,2,38,1,68.85196013,5,0,0,1,1,375
43,M,solteiro,ensino fundam,0,21,1,61.016419,6,0,0,1,0,243.9
52,F,casado,ensino medio,0,36,1,22.49550422,3,1,399,1,0,372
57,M,solteiro,graduacao,0,42,1,107.7257545,3,0,0,1,1,603
39,F,casado,graduacao,1,23,1,18.73570974,2,1,287,1,1,267
40,M,divorciado,doutorado,2,24,1,182.6110532,3,1,478,1,1,453.6
29,M,casado,graduacao,2,13,1,107.8304293,6,0,0,1,1,234
51,F,casado,ensino medio,0,34,1,71.90706766,4,0,0,1,1,533
49,F,casado,graduacao,4,32,1,23.65285691,5,0,0,1,1,527
41,M,casado,mestrado,3,25,1,60.4894097,3,1,273,1,0,404
26,M,solteiro,ensino medio,0,11,1,14.15692509,5,0,0,1,0,189
53,M,solteiro,mestrado,0,38,1,97.22633751,5,0,0,1,0,386.1
35,F,casado,ensino fundam,0,20,1,22.01658323,2,1,533,1,1,430
43,M,casado,graduacao,1,29,1,126.9824193,1,1,408,2,0,561
49,M,casado,ensino medio,2,34,1,132.2785659,4,0,0,1,1,579
36,F,solteiro,doutorado,0,21,1,93.40814585,5,0,0,1,0,382.5
57,F,casado,ensino fundam,2,43,1,19.12927415,4,0,0,1,1,337
46,F,na,ensino fundam,1,31,1,23.44541957,1,1,501,1,1,491
60,M,divorciado,graduacao,1,45,1,140.9592964,1,1,225,1,2,711
48,F,casado,graduacao,1,32,0,0,6,0,0,1,2,458.4
55,M,casado,doutorado,4,41,1,133.5505066,6,0,0,1,0,522
41,M,divorciado,mestrado,3,29,1,125.0038656,5,0,0,1,1,623
50,F,casado,mestrado,2,33,0,0,5,0,0,1,1,504
48,F,na,ensino medio,4,34,1,19.39180444,5,0,0,1,1,362
58,M,casado,graduacao,3,43,1,103.0820841,5,0,0,1,1,499
47,F,casado,mestrado,2,34,0,0,2,1,772,1,0,432
52,M,solteiro,doutorado,0,39,1,129.2984927,6,0,0,1,0,369.9
51,F,solteiro,graduacao,0,37,1,22.72377126,5,0,0,1,0,398.7
60,F,solteiro,doutorado,0,48,1,117.9526114,1,1,744,2,0,716.4
36,F,casado,ensino fundam,0,21,1,16.82280995,4,0,0,1,1,316
36,M,casado,ensino fundam,3,22,1,172.9824622,2,1,260,1,1,375
50,M,solteiro,ensino medio,0,37,1,100.6741812,4,0,0,1,0,404.1
49,F,na,mestrado,1,36,1,22.98955737,6,0,0,1,1,427
26,M,solteiro,ensino fundam,0,10,0,0,6,0,0,1,1,216
47,F,casado,mestrado,1,33,1,20.91471619,6,0,0,1,1,453
34,F,casado,ensino fundam,3,20,1,21.52804902,3,1,508,1,1,448
40,M,casado,mestrado,3,27,1,116.1808264,3,1,232,1,1,268
56,F,casado,ensino medio,2,42,1,19.83276753,4,0,0,1,1,491
49,M,casado,mestrado,3,37,1,205.6815766,2,1,919,1,1,684.95
41,F,solteiro,ensino medio,0,28,1,22.01255036,3,0,0,1,0,392.4
38,M,solteiro,ensino medio,0,25,1,119.152593,6,0,0,1,0,492.3
41,F,casado,ensino fundam,5,28,1,63.47020794,5,0,0,1,1,369
41,M,casado,doutorado,4,27,1,64.3651697,6,0,0,2,1,544
44,F,solteiro,ensino fundam,0,31,1,22.60925237,6,0,0,1,0,423
48,M,casado,ensino medio,4,37,1,106.7278228,1,1,797,1,1,609
