,rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affair
114,4.0,32.0,16.5,3.0,3.0,12.0,2.0,3.0,True
115,5.0,22.0,2.5,0.0,1.0,12.0,3.0,3.0,True
116,4.0,22.0,2.5,1.0,2.0,14.0,4.0,4.0,True
117,1.0,22.0,2.5,0.0,2.0,9.0,2.0,4.0,True
118,3.0,32.0,13.0,2.0,1.0,20.0,6.0,6.0,True
119,5.0,32.0,9.0,1.0,2.0,14.0,3.0,5.0,True
120,5.0,27.0,2.5,0.0,1.0,20.0,6.0,4.0,True
121,4.0,27.0,9.0,2.0,2.0,14.0,2.0,5.0,True
122,4.0,27.0,6.0,0.0,3.0,12.0,5.0,2.0,True
123,2.0,22.0,2.5,0.0,3.0,14.0,3.0,2.0,True
124,3.0,27.0,9.0,2.0,3.0,17.0,4.0,6.0,True
125,4.0,27.0,6.0,2.0,1.0,14.0,3.0,4.0,True
126,5.0,22.0,2.5,1.0,1.0,12.0,2.0,2.0,True
127,4.0,27.0,16.5,4.0,3.0,12.0,2.0,6.0,True
128,2.0,27.0,6.0,1.0,2.0,14.0,4.0,3.0,True
129,2.0,32.0,6.0,1.0,1.0,17.0,4.0,4.0,True
130,5.0,27.0,6.0,2.0,2.0,16.0,4.0,3.0,True
131,4.0,42.0,23.0,3.0,3.0,17.0,4.0,4.0,True
132,4.0,32.0,9.0,2.0,1.0,16.0,4.0,6.0,True
133,3.0,42.0,23.0,4.0,3.0,14.0,4.0,3.0,True
134,5.0,27.0,6.0,2.0,1.0,12.0,5.0,2.0,True
135,2.0,42.0,23.0,4.0,4.0,20.0,4.0,5.0,True
136,3.0,32.0,6.0,0.0,2.0,20.0,4.0,5.0,True
137,5.0,27.0,2.5,0.0,2.0,14.0,3.0,2.0,True
138,2.0,42.0,16.5,3.0,3.0,12.0,3.0,5.0,True
139,4.0,37.0,23.0,3.0,2.0,12.0,5.0,4.0,True
140,3.0,27.0,2.5,0.0,2.0,17.0,4.0,4.0,True
141,3.0,32.0,13.0,3.0,3.0,20.0,4.0,6.0,True
142,3.0,27.0,2.5,0.0,2.0,14.0,3.0,4.0,True
143,3.0,42.0,16.5,2.0,1.0,16.0,3.0,5.0,True
144,4.0,22.0,2.5,0.0,2.0,14.0,5.0,5.0,True
145,5.0,27.0,6.0,0.0,3.0,14.0,3.0,5.0,True
146,3.0,22.0,2.5,0.0,1.0,12.0,2.0,4.0,True
147,4.0,27.0,6.0,0.0,3.0,14.0,2.0,4.0,True
148,3.0,27.0,9.0,2.0,2.0,16.0,3.0,4.0,True
149,2.0,27.0,9.0,1.0,2.0,14.0,2.0,2.0,True
150,3.0,22.0,2.5,0.0,3.0,12.0,3.0,3.0,True
151,4.0,32.0,16.5,4.0,4.0,14.0,3.0,5.0,True
152,5.0,32.0,2.5,2.0,2.0,14.0,3.0,4.0,True
153,4.0,27.0,2.5,0.0,2.0,14.0,3.0,5.0,True
154,5.0,32.0,9.0,3.0,3.0,16.0,4.0,4.0,True
155,3.0,32.0,13.0,2.0,2.0,12.0,3.0,5.0,True
156,3.0,32.0,16.5,3.0,3.0,12.0,3.0,2.0,True
157,5.0,42.0,23.0,2.0,2.0,14.0,5.0,5.0,True
158,3.0,27.0,16.5,4.0,3.0,14.0,4.0,2.0,True
159,3.0,32.0,16.5,4.0,2.0,20.0,4.0,4.0,True
160,4.0,22.0,2.5,2.0,2.0,14.0,5.0,2.0,True
161,5.0,27.0,6.0,0.0,1.0,12.0,3.0,4.0,True
162,4.0,37.0,16.5,3.0,4.0,16.0,5.0,5.0,True
163,3.0,22.0,2.5,0.0,2.0,12.0,3.0,5.0,True
164,4.0,32.0,13.0,2.0,2.0,14.0,3.0,5.0,True
165,5.0,42.0,23.0,5.5,3.0,17.0,4.0,4.0,True
166,2.0,27.0,6.0,2.0,3.0,12.0,2.0,2.0,True
167,5.0,22.0,2.5,1.0,2.0,16.0,3.0,6.0,True
168,3.0,42.0,23.0,2.0,3.0,12.0,2.0,2.0,True
169,5.0,42.0,23.0,3.0,1.0,14.0,3.0,5.0,True
170,4.0,22.0,2.5,0.0,3.0,12.0,3.0,4.0,True
171,3.0,27.0,9.0,1.0,4.0,14.0,5.0,5.0,True
172,2.0,37.0,23.0,3.0,3.0,12.0,2.0,4.0,True
173,3.0,32.0,9.0,3.0,3.0,14.0,4.0,5.0,True
174,5.0,37.0,16.5,4.0,3.0,12.0,3.0,4.0,True
175,3.0,27.0,9.0,2.0,2.0,12.0,5.0,2.0,True
176,3.0,27.0,6.0,1.0,2.0,17.0,2.0,2.0,True
177,5.0,22.0,2.5,0.0,3.0,14.0,3.0,3.0,True
178,5.0,27.0,6.0,0.0,2.0,17.0,4.0,5.0,True
179,4.0,22.0,2.5,0.0,2.0,12.0,4.0,2.0,True
180,4.0,27.0,6.0,0.0,2.0,12.0,3.0,4.0,True
181,3.0,32.0,9.0,1.0,2.0,12.0,3.0,3.0,True
182,1.0,42.0,23.0,4.0,3.0,12.0,3.0,5.0,True
183,2.0,22.0,6.0,2.0,2.0,12.0,3.0,4.0,True
184,4.0,32.0,16.5,2.0,2.0,12.0,2.0,2.0,True
185,4.0,32.0,13.0,3.0,3.0,14.0,2.0,2.0,True
186,5.0,27.0,9.0,2.0,1.0,12.0,3.0,3.0,True
187,3.0,42.0,23.0,3.0,2.0,12.0,3.0,2.0,True
188,3.0,37.0,16.5,1.0,3.0,20.0,6.0,6.0,True
189,5.0,32.0,13.0,2.0,1.0,12.0,5.0,2.0,True
190,4.0,27.0,13.0,3.0,1.0,12.0,4.0,2.0,True
191,2.0,37.0,13.0,0.0,2.0,14.0,3.0,5.0,True
192,3.0,27.0,9.0,1.0,1.0,12.0,2.0,2.0,True
193,5.0,27.0,6.0,0.0,1.0,14.0,5.0,5.0,True
194,2.0,42.0,23.0,2.0,3.0,12.0,5.0,2.0,True
195,5.0,27.0,6.0,0.0,2.0,16.0,3.0,4.0,True
196,4.0,22.0,2.5,0.0,4.0,16.0,5.0,4.0,True
197,5.0,22.0,2.5,0.0,2.0,16.0,4.0,4.0,True
198,5.0,42.0,13.0,0.0,3.0,12.0,3.0,2.0,True
199,4.0,22.0,2.5,1.0,1.0,16.0,3.0,4.0,True
200,4.0,32.0,9.0,1.0,3.0,16.0,3.0,5.0,True
201,4.0,27.0,9.0,2.0,2.0,12.0,4.0,2.0,True
202,5.0,27.0,6.0,0.0,1.0,16.0,5.0,2.0,True
203,4.0,32.0,16.5,3.0,2.0,14.0,5.0,4.0,True
204,2.0,42.0,2.5,0.0,4.0,20.0,6.0,5.0,True
205,2.0,42.0,23.0,5.5,4.0,14.0,3.0,6.0,True
206,4.0,42.0,23.0,4.0,2.0,12.0,3.0,2.0,True
207,3.0,22.0,2.5,0.0,3.0,16.0,5.0,5.0,True
208,2.0,22.0,2.5,0.0,3.0,14.0,3.0,5.0,True
209,4.0,22.0,2.5,0.0,3.0,14.0,3.0,3.0,True
210,4.0,32.0,16.5,4.0,3.0,14.0,4.0,4.0,True
211,5.0,32.0,13.0,2.0,4.0,17.0,4.0,5.0,True
212,4.0,32.0,13.0,3.0,4.0,12.0,3.0,5.0,True
213,5.0,27.0,9.0,2.0,1.0,14.0,4.0,4.0,True
214,4.0,27.0,6.0,1.0,4.0,16.0,3.0,4.0,True
215,4.0,27.0,9.0,2.0,3.0,12.0,2.0,4.0,True
216,1.0,37.0,16.5,3.0,2.0,17.0,4.0,4.0,True
217,3.0,27.0,9.0,3.0,2.0,12.0,4.0,5.0,True
218,2.0,27.0,6.0,0.0,2.0,14.0,3.0,4.0,True
219,3.0,22.0,2.5,1.0,2.0,14.0,2.0,2.0,True
220,4.0,22.0,2.5,1.0,3.0,12.0,3.0,4.0,True
221,4.0,27.0,2.5,0.0,2.0,14.0,4.0,4.0,True
222,1.0,42.0,23.0,2.0,3.0,12.0,3.0,5.0,True
223,5.0,27.0,6.0,2.0,4.0,14.0,5.0,5.0,True
224,5.0,27.0,6.0,0.0,1.0,12.0,4.0,2.0,True
225,4.0,37.0,23.0,2.0,3.0,12.0,3.0,5.0,True
226,4.0,22.0,6.0,2.0,2.0,12.0,3.0,4.0,True
227,1.0,32.0,13.0,1.0,3.0,14.0,3.0,1.0,True
228,5.0,22.0,6.0,1.0,1.0,16.0,3.0,5.0,True
229,5.0,27.0,6.0,0.0,1.0,14.0,3.0,5.0,True
230,5.0,27.0,6.0,1.0,1.0,17.0,4.0,5.0,True
231,4.0,37.0,16.5,1.0,2.0,14.0,2.0,5.0,True
232,4.0,27.0,9.0,2.0,2.0,12.0,2.0,2.0,True
233,4.0,42.0,23.0,4.0,1.0,12.0,3.0,4.0,True
234,4.0,32.0,13.0,0.0,3.0,12.0,2.0,2.0,True
235,5.0,32.0,13.0,2.0,3.0,12.0,2.0,2.0,True
236,4.0,42.0,23.0,4.0,1.0,17.0,4.0,4.0,True
237,4.0,37.0,23.0,4.0,2.0,14.0,4.0,3.0,True
238,4.0,32.0,16.5,2.0,2.0,14.0,3.0,6.0,True
239,4.0,27.0,13.0,4.0,3.0,12.0,2.0,4.0,True
240,5.0,37.0,23.0,3.0,2.0,12.0,3.0,2.0,True
241,2.0,32.0,13.0,0.0,3.0,9.0,6.0,2.0,True
242,5.0,32.0,13.0,2.0,1.0,14.0,4.0,6.0,True
243,4.0,27.0,6.0,1.0,2.0,14.0,4.0,2.0,True
244,5.0,27.0,2.5,0.0,3.0,20.0,4.0,5.0,True
245,2.0,42.0,23.0,3.0,3.0,14.0,4.0,2.0,True
246,3.0,27.0,6.0,0.0,1.0,14.0,3.0,2.0,True
247,4.0,27.0,6.0,1.0,2.0,12.0,3.0,4.0,True
248,2.0,22.0,2.5,0.0,3.0,12.0,3.0,3.0,True
249,3.0,27.0,2.5,0.0,3.0,12.0,2.0,2.0,True
250,4.0,42.0,23.0,2.0,2.0,17.0,5.0,2.0,True
251,5.0,32.0,13.0,2.0,1.0,14.0,2.0,5.0,True
252,5.0,32.0,13.0,0.0,1.0,12.0,5.0,4.0,True
253,4.0,27.0,9.0,2.0,2.0,16.0,4.0,5.0,True
254,5.0,42.0,23.0,4.0,3.0,17.0,4.0,4.0,True
255,3.0,27.0,9.0,3.0,1.0,16.0,4.0,5.0,True
256,5.0,42.0,13.0,0.0,2.0,14.0,5.0,3.0,True
257,5.0,32.0,16.5,2.0,2.0,16.0,5.0,5.0,True
258,1.0,42.0,23.0,2.0,1.0,12.0,3.0,3.0,True
259,4.0,27.0,6.0,0.0,1.0,12.0,3.0,4.0,True
260,5.0,42.0,23.0,3.0,2.0,12.0,5.0,4.0,True
261,4.0,27.0,9.0,2.0,3.0,16.0,4.0,5.0,True
262,2.0,32.0,13.0,3.0,3.0,20.0,4.0,5.0,True
263,4.0,22.0,2.5,0.0,2.0,12.0,3.0,2.0,True
264,3.0,32.0,16.5,3.0,2.0,12.0,3.0,2.0,True
265,5.0,27.0,6.0,1.0,3.0,12.0,5.0,2.0,True
266,3.0,27.0,2.5,0.0,1.0,12.0,3.0,4.0,True
267,5.0,22.0,2.5,0.0,2.0,16.0,4.0,6.0,True
268,3.0,32.0,13.0,0.0,2.0,16.0,4.0,5.0,True
269,4.0,37.0,16.5,2.0,2.0,20.0,4.0,2.0,True
270,4.0,27.0,6.0,1.0,2.0,17.0,4.0,5.0,True
271,4.0,37.0,23.0,4.0,2.0,12.0,3.0,2.0,True
272,4.0,22.0,2.5,2.0,2.0,14.0,3.0,5.0,True
273,3.0,27.0,6.0,1.0,3.0,17.0,4.0,4.0,True
274,4.0,32.0,16.5,3.0,4.0,12.0,3.0,5.0,True
275,5.0,22.0,6.0,2.0,3.0,14.0,3.0,5.0,True
276,4.0,32.0,13.0,2.0,3.0,14.0,3.0,2.0,True
277,4.0,27.0,9.0,1.0,1.0,14.0,2.0,5.0,True
278,3.0,32.0,16.5,2.0,2.0,12.0,3.0,4.0,True
279,4.0,27.0,13.0,2.0,2.0,12.0,3.0,2.0,True
280,5.0,27.0,9.0,1.0,3.0,12.0,2.0,3.0,True
281,3.0,27.0,9.0,0.0,1.0,12.0,3.0,4.0,True
282,4.0,27.0,9.0,0.0,3.0,14.0,5.0,6.0,True
283,3.0,22.0,2.5,0.0,1.0,12.0,3.0,2.0,True
284,3.0,32.0,13.0,2.0,3.0,20.0,4.0,5.0,True
285,4.0,42.0,23.0,5.5,2.0,14.0,5.0,3.0,True
286,5.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,True
287,5.0,27.0,9.0,1.0,2.0,14.0,4.0,5.0,True
288,5.0,37.0,13.0,2.0,3.0,14.0,4.0,3.0,True
289,5.0,27.0,2.5,1.0,3.0,16.0,3.0,3.0,True
290,4.0,27.0,6.0,0.0,2.0,14.0,3.0,2.0,True
291,5.0,22.0,2.5,0.0,2.0,12.0,4.0,4.0,True
292,5.0,27.0,6.0,1.0,3.0,12.0,2.0,3.0,True
293,4.0,32.0,9.0,2.0,2.0,16.0,5.0,5.0,True
294,4.0,32.0,6.0,2.0,3.0,14.0,4.0,2.0,True
295,2.0,22.0,2.5,1.0,2.0,17.0,2.0,2.0,True
296,5.0,27.0,2.5,0.0,2.0,17.0,5.0,5.0,True
297,5.0,37.0,16.5,3.0,2.0,14.0,4.0,4.0,True
298,3.0,27.0,2.5,1.0,3.0,14.0,5.0,3.0,True
299,4.0,27.0,6.0,1.0,1.0,14.0,3.0,4.0,True
300,5.0,27.0,6.0,2.0,3.0,12.0,2.0,4.0,True
301,4.0,42.0,23.0,3.0,2.0,12.0,3.0,2.0,True
302,3.0,27.0,6.0,2.0,3.0,14.0,3.0,5.0,True
303,5.0,22.0,6.0,1.0,3.0,14.0,1.0,4.0,True
304,5.0,37.0,23.0,3.0,2.0,12.0,3.0,4.0,True
305,3.0,37.0,16.5,3.0,3.0,12.0,3.0,4.0,True
306,4.0,42.0,23.0,4.0,2.0,9.0,4.0,4.0,True
307,4.0,42.0,23.0,3.0,3.0,12.0,3.0,5.0,True
308,4.0,37.0,23.0,2.0,2.0,16.0,4.0,6.0,True
309,5.0,32.0,16.5,4.0,1.0,12.0,2.0,1.0,True
310,4.0,27.0,6.0,2.0,3.0,14.0,2.0,6.0,True
311,3.0,32.0,16.5,2.0,2.0,12.0,2.0,2.0,True
312,2.0,27.0,6.0,1.0,2.0,12.0,3.0,2.0,True
313,4.0,22.0,2.5,0.0,1.0,14.0,3.0,4.0,True
314,3.0,22.0,6.0,1.0,2.0,14.0,3.0,2.0,True
315,2.0,27.0,6.0,0.0,3.0,12.0,3.0,3.0,True
316,4.0,27.0,6.0,1.0,2.0,12.0,2.0,5.0,True
317,3.0,22.0,2.5,1.0,1.0,12.0,5.0,5.0,True
318,2.0,37.0,16.5,3.0,2.0,14.0,3.0,5.0,True
319,5.0,32.0,13.0,2.0,2.0,16.0,4.0,2.0,True
320,5.0,22.0,2.5,0.0,1.0,12.0,3.0,2.0,True
321,4.0,22.0,6.0,1.0,3.0,14.0,4.0,1.0,True
322,4.0,22.0,0.5,0.0,2.0,12.0,5.0,2.0,True
323,3.0,27.0,2.5,0.0,2.0,20.0,4.0,4.0,True
324,5.0,27.0,2.5,0.0,3.0,12.0,2.0,2.0,True
325,4.0,22.0,2.5,0.0,3.0,14.0,3.0,2.0,True
326,4.0,42.0,16.5,2.0,1.0,16.0,4.0,5.0,True
327,5.0,32.0,13.0,1.0,2.0,12.0,5.0,2.0,True
328,5.0,32.0,13.0,3.0,3.0,14.0,3.0,5.0,True
329,5.0,32.0,2.5,0.0,3.0,14.0,4.0,2.0,True
330,3.0,32.0,13.0,1.0,1.0,16.0,4.0,5.0,True
331,5.0,42.0,23.0,2.0,3.0,14.0,5.0,6.0,True
332,4.0,27.0,6.0,1.0,1.0,14.0,3.0,2.0,True
333,3.0,37.0,16.5,4.0,3.0,12.0,2.0,5.0,True
334,5.0,37.0,16.5,2.0,2.0,12.0,2.0,4.0,True
335,2.0,32.0,9.0,1.0,2.0,12.0,3.0,3.0,True
336,2.0,32.0,13.0,0.0,2.0,14.0,5.0,4.0,True
337,4.0,22.0,0.5,0.0,1.0,12.0,3.0,4.0,True
338,4.0,22.0,6.0,0.0,1.0,12.0,3.0,4.0,True
339,3.0,37.0,16.5,3.0,3.0,12.0,2.0,2.0,True
340,3.0,27.0,2.5,0.0,2.0,17.0,4.0,5.0,True
341,3.0,22.0,2.5,0.0,2.0,17.0,5.0,4.0,True
342,4.0,32.0,16.5,2.0,2.0,14.0,3.0,4.0,True
343,4.0,42.0,16.5,2.0,3.0,17.0,5.0,6.0,True
344,4.0,32.0,16.5,5.5,3.0,12.0,2.0,2.0,True
345,3.0,32.0,13.0,2.0,3.0,14.0,2.0,2.0,True
346,4.0,42.0,23.0,2.0,2.0,20.0,4.0,5.0,True
347,3.0,32.0,9.0,1.0,2.0,16.0,4.0,3.0,True
348,4.0,22.0,2.5,0.0,2.0,14.0,3.0,2.0,True
349,3.0,37.0,16.5,3.0,3.0,12.0,3.0,3.0,True
350,3.0,42.0,23.0,3.0,1.0,14.0,3.0,4.0,True
351,1.0,32.0,16.5,3.0,3.0,12.0,4.0,2.0,True
352,2.0,37.0,16.5,5.5,2.0,12.0,2.0,5.0,True
353,5.0,32.0,9.0,0.0,3.0,12.0,3.0,5.0,True
354,2.0,32.0,16.5,4.0,2.0,14.0,3.0,5.0,True
355,3.0,22.0,2.5,0.0,2.0,17.0,4.0,1.0,True
356,5.0,32.0,2.5,0.0,2.0,16.0,5.0,5.0,True
357,3.0,27.0,6.0,1.0,1.0,17.0,4.0,5.0,True
358,4.0,27.0,6.0,0.0,1.0,17.0,4.0,1.0,True
359,3.0,37.0,16.5,2.0,2.0,14.0,4.0,2.0,True
360,4.0,37.0,16.5,2.0,1.0,14.0,3.0,3.0,True
361,5.0,42.0,23.0,2.0,3.0,14.0,3.0,4.0,True
362,4.0,32.0,13.0,2.0,1.0,17.0,4.0,2.0,True
363,3.0,27.0,9.0,0.0,1.0,14.0,3.0,5.0,True
364,3.0,32.0,13.0,2.0,1.0,12.0,3.0,6.0,True
365,3.0,27.0,6.0,2.0,3.0,17.0,4.0,6.0,True
366,2.0,37.0,16.5,3.0,2.0,12.0,2.0,4.0,True
367,2.0,22.0,6.0,2.0,1.0,14.0,3.0,4.0,True
368,3.0,17.5,2.5,1.0,3.0,12.0,4.0,2.0,True
369,3.0,27.0,6.0,3.0,2.0,14.0,2.0,2.0,True
370,3.0,22.0,2.5,0.0,1.0,12.0,2.0,5.0,True
371,4.0,42.0,23.0,3.0,2.0,14.0,3.0,5.0,True
372,2.0,27.0,6.0,2.0,3.0,14.0,3.0,3.0,True
373,4.0,32.0,16.5,5.5,2.0,14.0,3.0,2.0,True
374,4.0,27.0,2.5,0.0,3.0,12.0,3.0,5.0,True
375,4.0,27.0,6.0,2.0,3.0,12.0,3.0,2.0,True
376,4.0,27.0,2.5,0.0,3.0,16.0,4.0,5.0,True
377,5.0,27.0,6.0,0.0,1.0,16.0,4.0,5.0,True
378,2.0,22.0,6.0,2.0,2.0,12.0,2.0,3.0,True
379,3.0,27.0,2.5,0.0,1.0,20.0,4.0,4.0,True
380,4.0,32.0,16.5,3.0,3.0,14.0,3.0,5.0,True
381,5.0,32.0,13.0,1.0,3.0,17.0,4.0,4.0,True
382,3.0,22.0,2.5,1.0,2.0,12.0,2.0,4.0,True
383,4.0,22.0,2.5,0.0,1.0,14.0,3.0,3.0,True
384,5.0,32.0,9.0,2.0,3.0,16.0,4.0,4.0,True
385,5.0,32.0,2.5,0.0,3.0,14.0,5.0,4.0,True
